tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
261960	Tringa ochropus	31085312	0	live	CYTB	B2K99_mgp02	CYTB	CYTB|cytochrome b		MT	NC_033974.1	13651	14793	plus	0		
754351	Apodemus chejuensis	11538395	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_016662.1	14127	15270	plus	0		
4932	Saccharomyces cerevisiae	24573121	0	live	cytb	ACI60_gp05	cytochrome b			MT	NC_027264.1	28951	36325	plus	0		
1079038	Bombus hypocrita sapporensis	7323898	0	live	CYTB		cytochrome b			MT	NC_011923.1	11080	12220	plus	0		
300877	Prionailurus bengalensis euptilurus	11341281	0	live	CYTB	cytB	cytochrome b			MT	NC_016189.1	15019	16158	plus	0		
555342	Saltator similis	42903585	0	live	CYTB	GP498_mgp02	cytochrome b	cytochrome b		MT	NC_045366.1	13679	14821	plus	0		
101364	Carassius gibelio	9222076	0	live	CYTB		cytochrome b			MT	NC_014177.1	15299	16439	plus	0		
9844	Lama glama	7441191	0	live	CYTB		cytochrome b			MT	NC_012102.1	14161	15300	plus	0		
9883	Hydropotes inermis	7256470	0	live	CYTB		cytochrome b			MT	NC_011821.1	14150	15289	plus	0		
8656	Naja atra	6993613	0	live	CYTB		cytochrome b			MT	NC_011389.1	14940	16056	plus	0		
8843	Anser anser	6917651	0	live	CYTB		cytochrome b			MT	NC_011196.1	13675	14817	plus	0		
9064	Syrmaticus humiae	6335834	0	live	CYTB		cytochrome b			MT	NC_010774.1	14806	15948	plus	0		
9063	Syrmaticus ellioti	6335831	0	live	CYTB		cytochrome b			MT	NC_010771.1	14805	15947	plus	0		
254704	Mus terricolor	6264346	0	live	CYTB		cytochrome b			MT	NC_010650.1	14143	15286	plus	0		
7671	Strongylocentrotus droebachiensis	5692627	0	live	CYTB		cytochrome b			MT	NC_009940.1	14576	15717	plus	0		
7671	Strongylocentrotus droebachiensis	5692627	0	live	CYTB		cytochrome b			MT	NC_009940.1				0		
9860	Cervus elaphus	3854397	0	live	CYTB		cytochrome b			MT	NC_007704.2	14162	15301	plus	0		
8364	Xenopus tropicalis	3283504	0	live	CYTB	KEG17_p01	cytochrome b	cytochrome b		MT	NC_006839.1	14258	15399	plus	0		
9986	Oryctolagus cuniculus	808227	0	live	CYTB	KEF51_p01, cytb	cytochrome b	cytochrome b		MT	NC_001913.1	14175	15313	plus	0		
451428	Sturnus sericeus	9711182	0	live	cytb		CYTB	cytochrome b		MT	NC_014455.1	13679	14821	plus	0		
533011	Xenograpsus testudinatus	8560554	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_013480.1	5372	6506	plus	0		
364026	Eriogyna pyretorum	7922596	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_012727.1	10521	11672	plus	0		
39442	Mus musculus musculus	5912277	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_010339.1	14148	15291	plus	0		
37349	Mammuthus primigenius	3773153	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_007596.2	14151	15286	plus	0		
6876	Centruroides limpidus	3332114	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_006896.1	9718	10816	plus	0		
39758	Mayetiola destructor	8250931	0	live	CYTB		cytb	cytb|cytochrome b		MT	NC_013066.1	9906	11033	plus	0		
608481	Rhopalomyia pomum	8250890	0	live	CYTB		cytb	cytb|cytochrome b		MT	NC_013063.1	9964	11080	plus	0		
545418	Branchiostegus argentatus	8097561	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_012907.1	14407	15547	plus	0		
545417	Branchiostegus albus	8097546	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_012905.1	14398	15538	plus	0		
270562	Branchiostegus japonicus	8097534	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_012904.1	14404	15544	plus	0		
472989	Francolinus pintadeanus	7256427	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_011817.1	14811	15953	plus	0		
9083	Bambusicola thoracica	7256413	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_011816.1	14843	15985	plus	0		
200676	Comephorus baicalensis	34926302	0	live	CYTB	CSW83_mgp01	CYTB	CYTB|cytochrome b		MT	NC_036148.1	14391	15531	plus	0		
61641	Comephorus dybowskii	34926117	0	live	CYTB	CSW92_mgp01	CYTB	CYTB|cytochrome b		MT	NC_036149.1	14390	15530	plus	0		
240162	Miichthys miiuy	9481362	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_014351.1	14378	15518	plus	0		
240159	Collichthys lucidus	9481348	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_014350.1	14385	15525	plus	0		
56141	Oncomelania hupensis	8251009	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_013073.1	7677	8816	plus	0		
98376	Pseudolabrus eoethinus	7411728	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_012055.1	14398	15538	plus	0		
55521	Rapana venosa	6870547	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_011193.1	7746	8885	plus	0		
8204	Anarhichas lupus	5542033	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_009773.1	14377	15517	plus	0		
143526	Microhyla ornata	5074206	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_009422.1	14251	15396	plus	0		
115427	Dermatobia hominis	3119891	0	live	CYTB		cytb	cytb|cytochrome b		MT	NC_006378.1	10399	11535	plus	0		
1679032	Trichopodus leerii	26381435	0	live	CYTB	VU43_gp01	CYTB	CYTB|cytochrome b		MT	NC_026725.1	14355	15493	plus	0		
339787	Mactra chinensis	22158118	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_025510.1	7503	8792	plus	0		
54126	Pristionchus pacificus	10322891	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_015245.1	4543	5646	plus	0		
59463	Myotis lucifugus	27214826	0	live	CYTB	A4331_gp01	cytb	cytb|cytochrome b		MT	NC_029849.1	14171	15310	plus	0		
446904	Shijimiaeoides divina	27111367	0	live	CYTB	A3272_gp02	CytB	CytB|cytochrome b		MT	NC_029763.1	10462	11607	plus	0		
1783473	Triplophysa dorsalis	26894746	0	live	CYTB	AZ350_gp01	CYTB	CYTB|cytochrome b		MT	NC_029423.1	14375	15515	plus	0		
1677794	Triplophysa yarkandensis	25020984	0	live	CYTB	ADP33_gp01	CYTB	CYTB|cytochrome b		MT	NC_027517.1	14377	15517	plus	0		
51300	Nyctalus noctula	24572254	0	live	CYTB	ACI58_gp01	cytb	cytb|cytochrome b		MT	NC_027237.1	14165	15304	plus	0		
313441	Colisa fasciata	24020427	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_026794.1	14349	15496	plus	0		
1620450	Triplophysa strauchii	23764857	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_026714.1	14393	15533	plus	0		
1511820	Promalactis suzukiella	23764445	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_026697.1	10635	11783	plus	0		
96903	Trichopodus trichopterus	23631928	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_026580.2	14355	15494	plus	0		
1610892	Tachysurus fulvidraco x Tachysurus vachelli	23630086	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_026544.1	14361	15498	plus	0		
887870	Garra imberba	22161764	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_025562.1	14381	15521	plus	0		
342434	Xenophysogobio nudicorpa	20834953	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_025300.1	14399	15539	plus	0		
36250	Emberiza rustica	20465592	0	live	cytb		CYTB	cytochrome b		MT	NC_024924.1	13682	14824	plus	0		
1530446	Cottus dzungaricus	20159523	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_024739.1	14389	15529	plus	0		
422203	Triplophysa siluroides	19909796	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_024611.1	14377	15517	plus	0		
171527	Rhinogobio cylindricus	19907694	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_024540.1	14399	15539	plus	0		
9049	Pavo cristatus	19907609	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_024533.1	14803	15945	plus	0		
75362	Schizothorax prenanti	18887269	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_023829.1	14369	15509	plus	0		
171530	Rhinogobio ventralis	17428322	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_022720.1	14405	15545	plus	0		
1394546	Glyphodes quadrimaculalis	17427766	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_022699.1	10488	11636	plus	0		
1351926	Elophila interruptalis	16216634	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_021756.1	10550	11698	plus	0		
109291	Hippocampus trimaculatus	15332170	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_021107.1	14375	15515	plus	0		
88112	Alauda arvensis	14675612	0	live	cytb		CYTB	cytochrome b		MT	NC_020425.1	13658	14800	plus	0		
77794	Luciobarbus capito	14658050	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_020338.1	14320	15460	plus	0		
516015	Rasbora steineri	14411529	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_020005.1	14355	15495	plus	0		
286537	Coilia mystus	14050042	0	live	CYTB		cytb	cytb|cytochrome b		MT	NC_019644.1	14373	15513	plus	0		
110072	Hoplobatrachus rugulosus	14049406	0	live	CYTB		cytb	cytb|cytochrome b		MT	NC_019615.1	15759	16904	plus	0		
461127	Apatura ilia	11256300	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_016062.1	10421	11570	plus	0		
267980	Emberiza tristrami	10322699	0	live	cytb		CYTB	cytochrome b		MT	NC_015234.1	13673	14815	plus	0		
290628	Cottus hangiongensis	10094486	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_014851.1	14392	15532	plus	0		
481701	Acheilognathus somjinensis	10094339	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_014882.1	14375	15515	plus	0		
581200	Pseudopungtungia tenuicorpus	10094287	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_014873.1	14386	15526	plus	0		
581202	Microphysogobio koreensis	10080096	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_014880.1	14397	15537	plus	0		
564073	Gobiobotia macrocephala	10080054	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_014877.1	14394	15534	plus	0		
182643	Cottus poecilopus	10079652	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_014849.1	14373	15513	plus	0		
34773	Alosa sapidissima	9978357	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_014690.1	14375	15515	plus	0		
88027	Tanystylum orbiculare	9728726	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_014505.1	10118	11248	plus	0		
208481	Diadegma semiclausum	7901845	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_012708.1	12070	13206	plus	0		
339858	Rhodeus uyekii	3952971	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_007885.1	14598	15738	plus	0		
520171	Garrulax formosus	32233086	0	live	CYTB	B9D64_mgp02	CYTB	CYTB|cytochrome b		MT	NC_034353.1	13695	14837	plus	0		
242395	Xenoturbella bocki	4466532	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_008556.1	8059	9201	plus	0		
1115630	Brachymystax lenok tsinlingensis	13435199	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_018342.1	15388	16528	plus	0		
62067	Brachymystax lenok	13435184	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_018341.1	15551	16691	plus	0		
885932	Protantigius superans	11162813	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_016016.1	10513	11658	plus	0		
671079	Brotogeris cyanoptera	10609963	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_015530.1	10873	12009	plus	0		
115703	Zenaida auriculata	10251641	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_015203.1	10852	11994	plus	0		
869458	Geotrygon violacea	10251621	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_015207.1	10860	12002	plus	0		
175843	Bycanistes brevis	10251312	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_015201.1	10862	12004	plus	0		
155086	Bucorvus leadbeateri	10251285	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_015199.1	10863	12005	plus	0		
869457	Eupsittula pertinax chrysogenys	10251257	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_015197.1	10876	12015	plus	0		
13180	Nymphicus hollandicus	10251187	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_015192.1	10914	12053	plus	0		
135631	Leptotila verreauxi	10251159	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_015190.1	10855	11997	plus	0		
148074	Vampyrum spectrum	17046864	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_022429.1	14159	15298	plus	0		
171122	Tonatia saurophila	17046826	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_022428.1	14181	15320	plus	0		
138707	Rhinophylla pumilio	17046750	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_022426.1	14156	15295	plus	0		
280976	Pteronotus rubiginosus	17046712	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_022425.1	14167	15306	plus	0		
263451	Lophostoma silvicolum	17046674	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_022424.1	14169	15308	plus	0		
9430	Desmodus rotundus	17046636	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_022423.1	14140	15279	plus	0		
40233	Carollia perspicillata	17046598	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_022422.1	14162	15301	plus	0		
9421	Brachyphylla cavernarum	17046560	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_022421.1	14166	15305	plus	0		
27642	Anoura caudifer	17046522	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_022420.1	14167	15306	plus	0		
148066	Micronycteris megalotis	17046498	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_022419.1	14166	15305	plus	0		
1980559	Carabus lafossei	35201621	0	live	CYTB	CYL61_mgp02	cytb	cytb|cytochrome b		MT	NC_036507.1	10674	11810	plus	0		
446433	Cottus rhenanus	34828587	0	live	CYTB	CSW97_mgp01	CYTB	CYTB|cytochrome b		MT	NC_036147.1	14386	15526	plus	0		
446432	Cottus perifretum	34828549	0	live	CYTB	CSW79_mgp01	CYTB	CYTB|cytochrome b		MT	NC_036146.1	14384	15524	plus	0		
214916	Cottus asper	34828511	0	live	CYTB	CSW81_mgp01	CYTB	CYTB|cytochrome b		MT	NC_036145.1	14376	15516	plus	0		
1325559	Muscina angustifrons	32888502	0	live	CYTB	CCL87_mgp03	CYTB	CYTB|cytochrome b		MT	NC_034805.1	9071	10207	plus	0		
301145	Amynthas gracilis	24570566	0	live	CYTB	ACI15_gp09	TAA stop codon is completed by the addition of 3' A residues to the mRNA	CYTB|cytochrome b		MT	NC_027258.1	3964	5103	plus	0		
157167	Cottus czerskii	20524603	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_025242.1	14396	15536	plus	0		
30387	Netta rufina	20465564	0	live	cytb		CYTB	cytochrome b		MT	NC_024922.1	13663	14805	plus	0		
9160	Passer montanus	20355707	0	live	cytb		CYTB	cytochrome b		MT	NC_024821.1	13707	14852	plus	0		
1414805	Retinia pseudotsugaicola	17675565	0	live	CYTB		CytB	CytB|cytochrome b		MT	NC_022865.1	10472	11620	plus	0		
55534	Apalone spinifera	15821835	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_021371.1	14216	15346	plus	0		
716600	Procecidochares utilis	14690293	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_020463.1	10513	11646	plus	0		
36275	Leiothrix lutea	14675640	0	live	cytb		CYTB	cytochrome b		MT	NC_020427.1	13699	14841	plus	0		
56796	Urocissa erythrorhyncha	14675626	0	live	cytb		CYTB	cytochrome b		MT	NC_020426.1	13688	14830	plus	0		
409288	Oriolus chinensis	14675598	0	live	cytb		CYTB	cytochrome b		MT	NC_020424.1	13687	14829	plus	0		
381110	Sturnus nigricollis	14675584	0	live	cytb		CYTB	cytochrome b		MT	NC_020423.1	13679	14821	plus	0		
360505	Hapalogenys analis	14050070	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_019646.1	14396	15536	plus	0		
240825	Neosalanx taihuensis	14049832	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_019629.1	14383	15523	plus	0		
341125	Triplophysa stoliczkai	12799079	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_017890.1	14375	15515	plus	0		
116992	Gracula religiosa	11030513	0	live	cytb		CYTB	cytochrome b		MT	NC_015898.1	13676	14818	plus	0		
395014	Silurus lanzhouensis	10751970	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_015650.1	14357	15494	plus	0		
451382	Acridotheres cristatellus	10743987	0	live	cytb		CYTB	cytochrome b		MT	NC_015613.1	13678	14820	plus	0		
36269	Sturnus cineraceus	10322763	0	live	cytb		CYTB	cytochrome b		MT	NC_015237.1	13679	14821	plus	0		
504295	Emberiza chrysophrys	10322685	0	live	cytb		CYTB	cytochrome b		MT	NC_015233.1	13686	14828	plus	0		
160760	Spinus spinus	10251271	0	live	cytb		CYTB	cytochrome b		MT	NC_015198.1	13687	14829	plus	0		
279927	Sturnus tristis	10251229	0	live	cytb		CYTB	cytochrome b		MT	NC_015195.1	13677	14819	plus	0		
497904	Pungitius sinensis	10094325	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_014889.1	14379	15519	plus	0		
300318	Pungitius kaibarae	10080322	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_014893.1	14387	15527	plus	0		
84701	Cervus elaphus songaricus	9978619	0	live	CYTB		CYTB	CYTB|cytochrome b		MT	NC_014703.1	14146	15285	plus	0		
325276	Odontobutis platycephala	5846639	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_010199.1	15021	16161	plus	0		
29064	Uncia uncia	6262409	0	live	CYTB		cytochrome b			MT	NC_010638.1	14921	16060	plus	0		
463521	Plestiodon egregius	808658	0	live	CYTB		cytochrome b			MT	NC_000888.1	14130	15272	plus	0		
323802	Epinephelus bruneus	8774428	0	live	CYTB		cytochrome b			MT	NC_013820.1	14413	15553	plus	0		
577681	Eothenomys chinensis	8656249	0	live	CYTB		cytochrome b			MT	NC_013571.1	14126	15268	plus	0		
10212	Bugula neritina	5846134	0	live	CYTB		cytochrome b			MT	NC_010197.1	9951	11057	plus	0		
7213	Ceratitis capitata	808518	0	live	CYTB	KEF23_p02, cytB	cytochrome b	cytochrome b		MT	NC_000857.1	10550	11686	plus	0		
8030	Salmo salar	808306	0	live	CYTB	KEF54_p01, Cytb	cytochrome b	cytochrome b		MT	NC_001960.1	15384	16524	plus	0		
7740	Branchiostoma lanceolatum	808217	0	live	CYTB	cytb	cytochrome b			MT	NC_001912.1				0		
9807	Ceratotherium simum	808106	0	live	CYTB	KEF48_p01, cytb	cytochrome b	cytochrome b		MT	NC_001808.1	14176	15315	plus	0		
7897	Latimeria chalumnae	808082	0	live	CYTB	KEF47_p01, Cytb	cytochrome b	cytochrome b		MT	NC_001804.1	14343	15484	plus	0		
9319	Macropus robustus	808076	0	live	CYTB	cytb	cytochrome b			MT	NC_001794.1	14184	15329	plus	0		
42349	Albinaria caerulea	808004	0	live	CYTB	cytb	cytochrome b			MT	NC_001761.1	2847	3949	plus	0		
6398	Lumbricus terrestris	807917	0	live	CYTB	cytb	cytochrome b			MT	NC_001673.1	3952	5089	plus	0		
9685	Felis catus	807931	0	live	CYTB	KEF43_p01, cytB	cytochrome b	cytochrome b		MT	NC_001700.1	15038	16177	plus	0		
6973	Blattella germanica	8097361	0	live	CYTB		cytochrome b			MT	NC_012901.1	10363	11496	plus	0		
426588	Asymmetron sp. A TK-2007	5542243	0	live	CYTB		cytochrome b			MT	NC_009775.1	8825	9967	plus	0		
426587	Asymmetron inferum	5542224	0	live	CYTB		cytochrome b			MT	NC_009774.1	8897	10039	plus	0		
349711	Rattus praetor	7768333	0	live	CYTB		cytochrome b			MT	NC_012461.1	14134	15276	plus	0		
34854	Rattus exulans	7751828	0	live	CYTB		cytochrome b			MT	NC_012389.1	14131	15273	plus	0		
10117	Rattus rattus	7751810	0	live	CYTB	KEG97_p01	cytochrome b	cytochrome b		MT	NC_012374.1	14127	15269	plus	0		
35732	Rattus tanezumi	7113123	0	live	CYTB		cytochrome b	cytochrome b		MT	NC_011638.1	14125	15267	plus	0		
5821	Plasmodium berghei	10351782	0	live	cytb	PlbeoM_p03	apocytochrome b	apocytochrome b		MT	NC_015303.1	4751	5881	plus	0		
7240	Drosophila simulans	2760965	0	live	CYTB	KEG04_p02	cytochrome b	cytochrome b		MT	NC_005781.1	10556	11692	plus	0		
7238	Drosophila sechellia	2760940	0	live	CYTB		cytochrome b			MT	NC_005780.1	10535	11671	plus	0		
9580	Hylobates lar	808467	0	live	CYTB	cytb	cytochrome b			MT	NC_002082.1	14167	15307	plus	0		
29158	Mytilus galloprovincialis	3332131	0	live	CYTB		cytochrome b			MT	NC_006886.2	1226	2533	plus	0		
44522	Pelomedusa subrufa	808280	0	live	CYTB	cytb	cytochrome b			MT	NC_001947.1	14316	15458	plus	0		
6728	Procambarus clarkii	11763617	0	live	CYTB		cytochrome b			MT	NC_016926.1	9379	10513	minus	0		
27923	Mnemiopsis leidyi	11271688	0	live	CYTB		cytochrome b			MT	NC_016117.1	8775	9860	plus	0		
458178	Angiostrongylus malaysiensis	27982872	0	live	CYTB	BAQ66_gp07	cytochrome b			MT	NC_030332.1	4497	5606	plus	0		
194331	Solen strictus	12079815	0	live	CYTB		cytochrome b			MT	NC_017616.1	7443	8591	plus	0		
6252	Ascaris lumbricoides	11341425	0	live	CYTB		cytochrome b			MT	NC_016198.1	10944	12041	plus	0		
2065233	Bactrocera ritsemai	36937066	0	live	CYTB	DR435_mgp02	cytochrome b	cytochrome b		MT	NC_037723.1	10565	11701	plus	0		
164440	Bactrocera arecae	26130488	0	live	CYTB	ASR40_gp02	cytochrome b			MT	NC_028327.1	10530	11666	plus	0		
74588	Emberiza pusilla	15822599	0	live	CYTB	cytb	cytochrome b			MT	NC_021408.1	13678	14820	plus	0		
466049	Lanius tephronotus	15332141	0	live	CYTB	cytb	cytochrome b			MT	NC_021105.1	13682	14824	plus	0		
178002	Gammarus duebeni	12354621	0	live	CYTB		cytochrome b			MT	NC_017760.1	8721	9837	plus	0		
51805	Paratemnoides elongatus	12354344	0	live	CYTB		cytochrome b			MT	NC_017752.1	9568	10650	plus	0		
1170475	Athyma sulpitia	12354256	0	live	CYTB		cytochrome b			MT	NC_017744.1	10516	11667	plus	0		
129246	Apodemus chevrieri	12079848	0	live	CYTB		cytochrome b			MT	NC_017599.1	14124	15267	plus	0		
541010	Cygnus columbianus bewickii	12079531	0	live	CYTB		cytochrome b			MT	NC_017604.1	13681	14823	plus	0		
27689	Acipenser baerii	12079515	0	live	CYTB		cytochrome b			MT	NC_017603.1	14431	15571	plus	0		
439396	Acetes chinensis	12079350	0	live	CYTB		cytochrome b			MT	NC_017600.1	9074	10210	plus	0		
280486	Philanthus triangulum	11946033	0	live	CYTB		cytochrome b			MT	NC_017007.1	10432	11577	plus	0		
76340	Sciaenops ocellatus	11669645	0	live	CYTB		cytochrome b			MT	NC_016867.1	14386	15526	plus	0		
